#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
CBA.AX,1-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,2-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,3-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,4-Jan-00,,End Of Day,,26.2,26.2,25.86,25.93,1012586,,,Verified
CBA.AX,5-Jan-00,,End Of Day,,25.491,25.53,25.25,25.35,2179475,,,Verified
CBA.AX,6-Jan-00,,End Of Day,,25.5,25.5,24.8,24.85,1497418,,,Verified
CBA.AX,7-Jan-00,,End Of Day,,25.048,25.25,24.87,25.1,1406421,,,Verified
CBA.AX,8-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,9-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,10-Jan-00,,End Of Day,,25.5,25.76,25.45,25.7,1388935,,,Verified
CBA.AX,11-Jan-00,,End Of Day,,25.67,25.69,25.22,25.285,2094137,,,Verified
CBA.AX,12-Jan-00,,End Of Day,,25.192,25.6,25.15,25.45,1765495,,,Verified
CBA.AX,13-Jan-00,,End Of Day,,25.45,25.65,25.14,25.25,1933586,,,Verified
CBA.AX,14-Jan-00,,End Of Day,,25.348,25.65,25.28,25.583,1236621,,,Verified
CBA.AX,15-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,16-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,17-Jan-00,,End Of Day,,25.7,25.95,25.58,25.89,1491387,,,Verified
CBA.AX,18-Jan-00,,End Of Day,,25.85,25.9,25.6,25.814,3123148,,,Verified
CBA.AX,19-Jan-00,,End Of Day,,25.6,25.6,25.3,25.3,1160574,,,Verified
CBA.AX,20-Jan-00,,End Of Day,,25.349,25.64,25.29,25.6,2137458,,,Verified
CBA.AX,21-Jan-00,,End Of Day,,25.398,25.55,25.398,25.53,959618,,,Verified
CBA.AX,22-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,23-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,24-Jan-00,,End Of Day,,25.54,25.89,25.54,25.6,1153046,,,Verified
CBA.AX,25-Jan-00,,End Of Day,,25.28,25.5,25.25,25.45,1384692,,,Verified
CBA.AX,26-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,27-Jan-00,,End Of Day,,25.4,25.95,25.4,25.87,1642766,,,Verified
CBA.AX,28-Jan-00,,End Of Day,,25.88,26.55,25.88,26.26,6858972,,,Verified
CBA.AX,29-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,30-Jan-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,31-Jan-00,,End Of Day,,25.897,26.2,25.8,26.1,669288,,,Verified
CBA.AX,1-Feb-00,,End Of Day,,26.1,26.15,25.6,25.666,967740,,,Verified
CBA.AX,2-Feb-00,,End Of Day,,25.66,25.9,25.5,25.654,1076932,,,Verified
CBA.AX,3-Feb-00,,End Of Day,,25.591,25.591,25.09,25.2,2343854,,,Verified
CBA.AX,4-Feb-00,,End Of Day,,25.2,25.9,25.2,25.56,1084880,,,Verified
CBA.AX,5-Feb-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,6-Feb-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,7-Feb-00,,End Of Day,,25.5,25.96,25.45,25.67,1026359,,,Verified
CBA.AX,8-Feb-00,,End Of Day,,25.67,25.77,25.45,25.546,994818,,,Verified
CBA.AX,9-Feb-00,,End Of Day,,25.6,25.95,25.37,25.8,1782840,,,Verified
CBA.AX,10-Feb-00,,End Of Day,,25.7,26.25,25.7,26.147,3782741,,,Verified
CBA.AX,11-Feb-00,,End Of Day,,26,26.78,26,26.506,1753440,,,Verified
CBA.AX,12-Feb-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,13-Feb-00,,End Of Day,No Trades,,,,,,,,Verified
CBA.AX,14-Feb-00,,End Of Day,,26.2,26.81,26.2,26.606,1991405,,,Verified
CBA.AX,15-Feb-00,,End Of Day,,26.716,27.15,26.716,27.15,3180361,,,Verified
CBA.AX,16-Feb-00,,End Of Day,,27.15,27.5,26.8,26.88,2263673,,,Verified
