#RIC,Event Date,Cash Rate,China Growth Rate Change,CEO Health issue,Earning announcements,Macroevent,Government Policy changes
AAC.AX,30-Jul-12,0,1,0,0,0,0
CCL.AX,6-Oct-14,0,1,0,0,0,0
ELD.AX,29-Oct-12,0,0,0,1,0,0
FGL.AX,12-May-14,0,0,0,0,1,0
GFF.AX,6-Oct-14,0,1,0,0,0,0
GNC.AX,18-Nov-13,0,0,0,0,1,0
TWE.AX,22-Jun-15,0,0,0,0,1,0
AAC.AX,2-Nov-11,1,0,0,0,0,0
BGA.AX,2-Nov-11,1,0,0,0,0,0
CCL.AX,2-Nov-11,1,0,0,0,0,0
CGC.AX,2-Nov-11,1,0,0,0,0,0
ELD.AX,2-Nov-11,1,0,0,0,0,0
FGL.AX,2-Nov-11,1,0,0,0,0,0
FGL.AX,2-Nov-11,1,0,0,0,0,0
GFF.AX,2-Nov-11,1,0,0,0,0,0
GNC.AX,2-Nov-11,1,0,0,0,0,0
SHV.AX,2-Nov-11,1,0,0,0,0,0
CBA.AX,2-Nov-11,1.5,0,0,0,0,0
NAB.AX,2-Nov-11,1.5,0,0,0,0,0
ANZ.AX,2-Nov-11,1.5,0,0,0,0,0
WBC.AX,2-Nov-11,1.5,0,0,0,0,0
TGR.AX,2-Nov-11,1,0,0,0,0,0
TWE.AX,2-Nov-11,1,0,0,0,0,0
RIC.AX,2-Nov-11,1,0,0,0,0,0
WBA.AX,2-Nov-11,1,0,0,0,0,0
AAC.AX,5-Dec-12,1,0,0,0,0,0
BGA.AX,5-Dec-12,1,0,0,0,0,0
CCL.AX,5-Dec-12,1,0,0,0,0,0
CGC.AX,5-Dec-12,1,0,0,0,0,0
ELD.AX,5-Dec-12,1,0,0,0,0,0
FGL.AX,5-Dec-12,1,0,0,0,0,0
FGL.AX,5-Dec-12,1,0,0,0,0,0
GFF.AX,5-Dec-12,1,0,0,0,0,0
GNC.AX,5-Dec-12,1,0,0,0,0,0
SHV.AX,5-Dec-12,1,0,0,0,0,0
TGR.AX,5-Dec-12,1,0,0,0,0,0
TWE.AX,5-Dec-12,1,0,0,0,0,0
RIC.AX,5-Dec-12,1,0,0,0,0,0
WBA.AX,5-Dec-12,1,0,0,0,0,0
AAC.AX,1-Feb-15,1,0,0,0,0,0
BGA.AX,1-Feb-15,1,0,0,0,0,0
CCL.AX,1-Feb-15,1,0,0,0,0,0
CGC.AX,1-Feb-15,1,0,0,0,0,0
ELD.AX,1-Feb-15,1,0,0,0,0,0
FGL.AX,1-Feb-15,1,0,0,0,0,0
FGL.AX,1-Feb-15,1,0,0,0,0,0
GFF.AX,1-Feb-15,1,0,0,0,0,0
GNC.AX,1-Feb-15,1,0,0,0,0,0
SHV.AX,1-Feb-15,1,0,0,0,0,0
TGR.AX,1-Feb-15,1,0,0,0,0,0
TWE.AX,1-Feb-15,1,0,0,0,0,0
RIC.AX,1-Feb-15,1,0,0,0,0,0
WBA.AX,1-Feb-15,1,0,0,0,0,0
CBA.AX,1-Feb-15,0,0,0,0,0,1
ANZ.AX,14-Jan-15,1,0,0,0,0,0
